         solid_ec_ps  |                 mvx  |x component of primary vertex of the mother of the particle entering the sensitive volume  |   20   |                  Dd  
         solid_ec_ps  |                 mvy  |y component of primary vertex of the mother of the particle entering the sensitive volume  |   21   |                  Dd  
         solid_ec_ps  |                 mvz  |z component of primary vertex of the mother of the particle entering the sensitive volume  |   22   |                  Dd  
         solid_ec_ps  |               avg_t  |                                      Average time  |   23   |                  Dd  
         solid_ec_ps  |              nsteps  |                            Number of geant4 steps  |   24   |                  Di  
         solid_ec_ps  |              procID  |           Process that created the first particle  |   25   |                  Di  
         solid_ec_ps  |            totEdepB  |                                                    |   26   |                  Dd  
         solid_ec_ps  |             totEend  |                                                    |   27   |                  Dd  
         solid_ec_ps  |                  id  |                                         id number  |   98   |                  Di  
         solid_ec_ps  |                hitn  |                                        Hit Number  |   99   |                  Di  
