solid_SIDIS_hgc_cone_4  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_4  |-140.776886836946*cm 156.348584676238*cm 350.027815385814*cm  |      ordered: zxy -132*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_4 - solid_SIDIS_hgc_conein_4  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2204002 
solid_SIDIS_hgc_coneout_5  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_5  |-170.20727225353*cm 123.66283301695*cm 350.027815385814*cm  |      ordered: zxy -144*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_5  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_5  |-170.20727225353*cm 123.66283301695*cm 350.027815385814*cm  |      ordered: zxy -144*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_5  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_5  |-170.20727225353*cm 123.66283301695*cm 350.027815385814*cm  |      ordered: zxy -144*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_5 - solid_SIDIS_hgc_conein_5  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2205002 
solid_SIDIS_hgc_coneout_6  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_6  |-192.198783380383*cm 85.5724223384244*cm 350.027815385814*cm  |      ordered: zxy -156*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_6  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_6  |-192.198783380383*cm 85.5724223384244*cm 350.027815385814*cm  |      ordered: zxy -156*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_6  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_6  |-192.198783380383*cm 85.5724223384244*cm 350.027815385814*cm  |      ordered: zxy -156*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_6 - solid_SIDIS_hgc_conein_6  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2206002 
solid_SIDIS_hgc_coneout_7  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_7  |-205.790285686956*cm 43.7420863087953*cm 350.027815385814*cm  |      ordered: zxy -168*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_7  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_7  |-205.790285686956*cm 43.7420863087953*cm 350.027815385814*cm  |      ordered: zxy -168*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_7  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_7  |-205.790285686956*cm 43.7420863087953*cm 350.027815385814*cm  |      ordered: zxy -168*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_7 - solid_SIDIS_hgc_conein_7  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2207002 
