solid_DDVCS_muon_forwardangle_pat_0_0_16  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_16  |                         -561.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100016 
solid_DDVCS_muon_forwardangle_pat_0_0_17  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_17  |                         -551.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100017 
solid_DDVCS_muon_forwardangle_pat_0_0_18  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_18  |                         -541.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100018 
solid_DDVCS_muon_forwardangle_pat_0_0_19  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_19  |                         -531.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100019 
solid_DDVCS_muon_forwardangle_pat_0_0_20  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_20  |                         -521.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100020 
solid_DDVCS_muon_forwardangle_pat_0_0_21  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_21  |                         -511.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100021 
solid_DDVCS_muon_forwardangle_pat_0_0_22  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_22  |                         -501.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100022 
solid_DDVCS_muon_forwardangle_pat_0_0_23  |                root  |solid_DDVCS_muon_forwardangle_pat_0_0_23  |                         -491.5*mm 0*mm 5654.05*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100023 
solid_DDVCS_muon_forwardangle_pat_0_1_0  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_0  |                         -480.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100100 
solid_DDVCS_muon_forwardangle_pat_0_1_1  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_1  |                         -470.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100101 
