<mfield>
  <description name="halbach_33ring_4col_field_map" factory="ASCII" comment="halbach_33ring_4col_field_map"/>
       <symmetry type="cartesian_3D" format="map" integration="ClassicalRK4" minStep="0.01*mm"/>
       <map>
               <coordinate>
                       <first  name="X" npoints="21" min="-70" max="70" units="mm"/>
                       <second name="Y" npoints="21" min="-70" max="70" units="mm"/>
                       <third name="Z" npoints="2" min="0" max="210" units="mm"/>
               </coordinate>
               <field unit="gauss"/>
               <interpolation type="linear"/>
               <shift z="0" units="cm"/>
       </map>
</mfield>
-49	21	210	2712.21	0	0
-49	28	0	2834.43	0	0
-49	28	210	2834.43	0	0
-49	35	0	3000.46	0	0
-49	35	210	3000.46	0	0
-49	42	0	3216.26	0	0
-49	42	210	3216.26	0	0
-49	49	0	3488.56	0	0
-49	49	210	3488.56	0	0
-49	56	0	3824.58	0	0
-49	56	210	3824.58	0	0
-49	63	0	4232	0	0
-49	63	210	4232	0	0
-49	70	0	4718.73	0	0
-49	70	210	4718.73	0	0
-42	-70	0	4382.22	0	0
-42	-70	210	4382.22	0	0
-42	-63	0	3917.97	0	0
-42	-63	210	3917.97	0	0
-42	-56	0	3532.04	0	0
-42	-56	210	3532.04	0	0
-42	-49	0	3216.26	0	0
-42	-49	210	3216.26	0	0
-42	-42	0	2962.72	0	0
-42	-42	210	2962.72	0	0
-42	-35	0	2763.83	0	0
-42	-35	210	2763.83	0	0
-42	-28	0	2612.5	0	0
-42	-28	210	2612.5	0	0
-42	-21	0	2502.33	0	0
-42	-21	210	2502.33	0	0
-42	-14	0	2427.88	0	0
-42	-14	210	2427.88	0	0
-42	-7	0	2384.98	0	0
-42	-7	210	2384.98	0	0
-42	0	0	2370.98	0	0
-42	0	210	2370.98	0	0
-42	7	0	2384.98	0	0
-42	7	210	2384.98	0	0
-42	14	0	2427.88	0	0
-42	14	210	2427.88	0	0
-42	21	0	2502.33	0	0
-42	21	210	2502.33	0	0
-42	28	0	2612.5	0	0
-42	28	210	2612.5	0	0
-42	35	0	2763.83	0	0
-42	35	210	2763.83	0	0
-42	42	0	2962.72	0	0
-42	42	210	2962.72	0	0
-42	49	0	3216.26	0	0
-42	49	210	3216.26	0	0
-42	56	0	3532.04	0	0
-42	56	210	3532.04	0	0
-42	63	0	3917.97	0	0
-42	63	210	3917.97	0	0
-42	70	0	4382.22	0	0
-42	70	210	4382.22	0	0
-35	-70	0	4109.34	0	0
-35	-70	210	4109.34	0	0
-35	-63	0	3664.95	0	0
-35	-63	210	3664.95	0	0
-35	-56	0	3298.11	0	0
-35	-56	210	3298.11	0	0
-35	-49	0	3000.46	0	0
-35	-49	210	3000.46	0	0
-35	-42	0	2763.83	0	0
-35	-42	210	2763.83	0	0
-35	-35	0	2580.33	0	0
-35	-35	210	2580.33	0	0
-35	-28	0	2442.48	0	0
-35	-28	210	2442.48	0	0
-35	-21	0	2343.45	0	0
-35	-21	210	2343.45	0	0
-35	-14	0	2277.36	0	0
-35	-14	210	2277.36	0	0
-35	-7	0	2239.66	0	0
-35	-7	210	2239.66	0	0
-35	0	0	2227.42	0	0
-35	0	210	2227.42	0	0
-35	7	0	2239.66	0	0
-35	7	210	2239.66	0	0
-35	14	0	2277.36	0	0
-35	14	210	2277.36	0	0
-35	21	0	2343.45	0	0
-35	21	210	2343.45	0	0
-35	28	0	2442.48	0	0
-35	28	210	2442.48	0	0
-35	35	0	2580.33	0	0
-35	35	210	2580.33	0	0
-35	42	0	2763.83	0	0
-35	42	210	2763.83	0	0
-35	49	0	3000.46	0	0
-35	49	210	3000.46	0	0
-35	56	0	3298.11	0	0
-35	56	210	3298.11	0	0
-35	63	0	3664.95	0	0
-35	63	210	3664.95	0	0
-35	70	0	4109.34	0	0
-35	70	210	4109.34	0	0
-28	-70	0	3894.48	0	0
