solid_urwell_0_readout1_g10_15  |solid_urwell_0_region  |uRWell module 0 LMU Box readout1 g10 layer  |                               0*cm 0*cm 0.2574*cm  |                       0*deg 0*deg 0*deg  | aa44d8   |                 Box  |                                       5.1*cm 5.1*cm 0.05*cm  |                 g10  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_readout1_Cu_16  |solid_urwell_0_region  |uRWell module 0 LMU Box readout1 Cu layer  |                              0*cm 0*cm 0.30925*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00185*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_readout2_glue_17  |solid_urwell_0_region  |uRWell module 0 LMU Box readout2 glue layer  |                              0*cm 0*cm 0.31735*cm  |                       0*deg 0*deg 0*deg  | 14ce3d   |                 Box  |                                    5.1*cm 5.1*cm 0.00625*cm  |                glue  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_readout2_g10_18  |solid_urwell_0_region  |uRWell module 0 LMU Box readout2 g10 layer  |                               0*cm 0*cm 0.3736*cm  |                       0*deg 0*deg 0*deg  | aa44d8   |                 Box  |                                       5.1*cm 5.1*cm 0.05*cm  |                 g10  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_0_readout2_Cu_19  |solid_urwell_0_region  |uRWell module 0 LMU Box readout2 Cu layer  |                              0*cm 0*cm 0.42545*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00185*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      solid_urwell_1  |          cc_pro_tcd  |SoLID uRWell module 1 LMU-style compact mother volume  |                               0*cm 0*cm 116.88*cm  |                       0*deg 0*deg 0*deg  | aaaaaa   |                 Box  |                                        5.1*cm 5.1*cm 0.5*cm  |              G4_AIR  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_1_region  |      solid_urwell_1  |SoLID uRWell module 1 LMU-style compact inner region  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | aaaaaa   |                 Box  |                                       5.1*cm 5.1*cm 0.48*cm  |              G4_AIR  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_1_readout2_Cu_0  |solid_urwell_1_region  |uRWell module 1 LMU Box readout2 Cu layer  |                             0*cm 0*cm -0.42545*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00185*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_1_readout2_g10_1  |solid_urwell_1_region  |uRWell module 1 LMU Box readout2 g10 layer  |                              0*cm 0*cm -0.3736*cm  |                       0*deg 0*deg 0*deg  | aa44d8   |                 Box  |                                       5.1*cm 5.1*cm 0.05*cm  |                 g10  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_urwell_1_readout2_glue_2  |solid_urwell_1_region  |uRWell module 1 LMU Box readout2 glue layer  |                             0*cm 0*cm -0.31735*cm  |                       0*deg 0*deg 0*deg  | 14ce3d   |                 Box  |                                    5.1*cm 5.1*cm 0.00625*cm  |                glue  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
