solid_lmu_gem_1_gem1_Cu_1  |solid_lmu_gem_1_region  |LMU-size compact GEM 1 gem1 Cu layer  |                             0*cm 0*cm -0.10355*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_1_cathode_gas  |solid_lmu_gem_1_region  |LMU-size compact GEM 1 cathode gas layer  |                   0*cm 0*cm 0.0489500000000001*cm  |                       0*deg 0*deg 0*deg  | afb0ba   |                 Box  |                                       5.1*cm 5.1*cm 0.15*cm  |                 gas  |                  no  |     1   |     0   |     1   |   1   |   1   |              urwell  |              urwell  |region manual 1 sector manual 101 chamber manual 1 layer manual 1 component manual 1 
solid_lmu_gem_1_cathode_Cu  |solid_lmu_gem_1_region  |LMU-size compact GEM 1 cathode Cu layer  |                               0*cm 0*cm 0.1992*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_1_cathode_kapton  |solid_lmu_gem_1_region  |LMU-size compact GEM 1 cathode kapton layer  |                              0*cm 0*cm 0.20195*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_1_window_gas  |solid_lmu_gem_1_region  |LMU-size compact GEM 1 window gas layer  |                              0*cm 0*cm 0.35445*cm  |                       0*deg 0*deg 0*deg  | afb0ba   |                 Box  |                                       5.1*cm 5.1*cm 0.15*cm  |                 gas  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_1_window_Al  |solid_lmu_gem_1_region  |LMU-size compact GEM 1 window Al layer  |                               0*cm 0*cm 0.5047*cm  |                       0*deg 0*deg 0*deg  | 2a3158   |                 Box  |                                    5.1*cm 5.1*cm 0.00025*cm  |                  Al  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_1_window_kapton  |solid_lmu_gem_1_region  |LMU-size compact GEM 1 window kapton layer  |                               0*cm 0*cm 0.5062*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                    5.1*cm 5.1*cm 0.00125*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     solid_lmu_gem_2  |          cc_pro_tcd  |LMU-size compact GEM module 2 outer mother  |                                0*cm 0*cm -76.4*cm  |                       0*deg 0*deg 0*deg  | ff66cc   |                 Box  |                                        5.1*cm 5.1*cm 0.6*cm  |              G4_AIR  |                  no  |     1   |     0   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_region  |     solid_lmu_gem_2  |LMU-size compact GEM module 2 inner region  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 4f84f7   |                 Box  |                                       5.1*cm 5.1*cm 0.55*cm  |              G4_AIR  |                  no  |     1   |     0   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_window_kapton  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 window kapton layer  |                              0*cm 0*cm -0.5062*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                    5.1*cm 5.1*cm 0.00125*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_window_Al  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 window Al layer  |                              0*cm 0*cm -0.5047*cm  |                       0*deg 0*deg 0*deg  | 2a3158   |                 Box  |                                    5.1*cm 5.1*cm 0.00025*cm  |                  Al  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_window_gas  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 window gas layer  |                             0*cm 0*cm -0.35445*cm  |                       0*deg 0*deg 0*deg  | afb0ba   |                 Box  |                                       5.1*cm 5.1*cm 0.15*cm  |                 gas  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_cathode_kapton  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 cathode kapton layer  |                             0*cm 0*cm -0.20195*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_cathode_Cu  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 cathode Cu layer  |                              0*cm 0*cm -0.1992*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_cathode_gas  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 cathode gas layer  |                  0*cm 0*cm -0.0489500000000003*cm  |                       0*deg 0*deg 0*deg  | afb0ba   |                 Box  |                                       5.1*cm 5.1*cm 0.15*cm  |                 gas  |                  no  |     1   |     0   |     1   |   1   |   1   |              urwell  |              urwell  |region manual 1 sector manual 102 chamber manual 1 layer manual 1 component manual 1 
solid_lmu_gem_2_gem1_Cu_1  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 gem1 Cu layer  |                              0*cm 0*cm 0.10355*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
