solid_SIDIS_ec_largeangle_showe424_paintfrontrod4  |solid_SIDIS_ec_largeangle_showe424_paintfront1  |solid_SIDIS_ec_largeangle_showe424_paintfrontrod4  | -5.6254999998482*cm -4.13272306174735e-05*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_SIDIS_ec_largeangle_showe424_paintfrontrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_paintfrontrod5  |solid_SIDIS_ec_largeangle_showe424_paintfront1  |solid_SIDIS_ec_largeangle_showe424_paintfrontrod5  |    -2.81270227928962*cm -4.87185346024272*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_SIDIS_ec_largeangle_showe424_paintfrontrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_paintfrontrod6  |solid_SIDIS_ec_largeangle_showe424_paintfront1  |solid_SIDIS_ec_largeangle_showe424_paintfrontrod6  |     2.81280965050846*cm -4.87179146926533*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_SIDIS_ec_largeangle_showe424_paintfrontrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_paintback1  |solid_SIDIS_ec_largeangle_showe424  |solid_SIDIS_ec_largeangle_showe424_paintback1  |                             0*cm 0*cm -22.6405*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |                Pgon  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0025*cm 0.0025*cm  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_paintbackrod1  |solid_SIDIS_ec_largeangle_showe424_paintback1  |solid_SIDIS_ec_largeangle_showe424_paintbackrod1  |                               5.6255*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |                Tube  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_paintbackrod2  |solid_SIDIS_ec_largeangle_showe424_paintback1  |solid_SIDIS_ec_largeangle_showe424_paintbackrod2  |      2.81273806984771*cm 4.87183279684652*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_SIDIS_ec_largeangle_showe424_paintbackrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_paintbackrod3  |solid_SIDIS_ec_largeangle_showe424_paintback1  |solid_SIDIS_ec_largeangle_showe424_paintbackrod3  |     -2.81277386025399*cm 4.87181213318739*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_SIDIS_ec_largeangle_showe424_paintbackrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_paintbackrod4  |solid_SIDIS_ec_largeangle_showe424_paintback1  |solid_SIDIS_ec_largeangle_showe424_paintbackrod4  | -5.6254999998482*cm -4.13272306174735e-05*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_SIDIS_ec_largeangle_showe424_paintbackrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_paintbackrod5  |solid_SIDIS_ec_largeangle_showe424_paintback1  |solid_SIDIS_ec_largeangle_showe424_paintbackrod5  |    -2.81270227928962*cm -4.87185346024272*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_SIDIS_ec_largeangle_showe424_paintbackrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_showe424_paintbackrod6  |solid_SIDIS_ec_largeangle_showe424_paintback1  |solid_SIDIS_ec_largeangle_showe424_paintbackrod6  |     2.81280965050846*cm -4.87179146926533*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_SIDIS_ec_largeangle_showe424_paintbackrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
