        cher_lg_Tank  |                root  |                          tank  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | FF9900   |            Polycone  |0*deg 360*deg 4 65*cm 67*cm 67*cm 85*cm 144*cm 155*cm 265*cm 265*cm 194*cm 209.01*cm 209.01*cm 301*cm  |    SL_LGCCgas_SIDIS  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 cher_lg_PMT_30_1_24  |        cher_lg_Tank  |          PMT number 1 0 0 2 7  |                   36.213*cm 236.134*cm 237.321*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 24 
 cher_lg_PMT_30_1_25  |        cher_lg_Tank  |          PMT number 1 0 0 3 0  |                   36.487*cm 233.986*cm 233.267*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 25 
 cher_lg_PMT_30_1_26  |        cher_lg_Tank  |          PMT number 1 0 0 3 1  |                   36.539*cm 234.276*cm 233.846*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 26 
 cher_lg_PMT_30_1_27  |        cher_lg_Tank  |          PMT number 1 0 0 3 2  |                   36.591*cm 234.567*cm 234.425*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 27 
 cher_lg_PMT_30_1_28  |        cher_lg_Tank  |          PMT number 1 0 0 3 3  |                   36.644*cm 234.857*cm 235.005*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 28 
 cher_lg_PMT_30_1_29  |        cher_lg_Tank  |          PMT number 1 0 0 3 4  |                   36.696*cm 235.147*cm 235.584*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 29 
 cher_lg_PMT_30_1_30  |        cher_lg_Tank  |          PMT number 1 0 0 3 5  |                   36.748*cm 235.438*cm 236.163*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 30 
 cher_lg_PMT_30_1_31  |        cher_lg_Tank  |          PMT number 1 0 0 3 6  |                   36.800*cm 235.728*cm 236.742*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 31 
 cher_lg_PMT_30_1_32  |        cher_lg_Tank  |          PMT number 1 0 0 3 7  |                   36.853*cm 236.019*cm 237.321*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 32 
 cher_lg_PMT_30_1_33  |        cher_lg_Tank  |          PMT number 1 0 0 4 0  |                   37.127*cm 233.871*cm 233.267*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 33 
 cher_lg_PMT_30_1_34  |        cher_lg_Tank  |          PMT number 1 0 0 4 1  |                   37.179*cm 234.161*cm 233.846*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 34 
 cher_lg_PMT_30_1_35  |        cher_lg_Tank  |          PMT number 1 0 0 4 2  |                   37.231*cm 234.451*cm 234.425*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 35 
 cher_lg_PMT_30_1_36  |        cher_lg_Tank  |          PMT number 1 0 0 4 3  |                   37.283*cm 234.742*cm 235.005*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 36 
 cher_lg_PMT_30_1_37  |        cher_lg_Tank  |          PMT number 1 0 0 4 4  |                   37.336*cm 235.032*cm 235.584*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 37 
 cher_lg_PMT_30_1_38  |        cher_lg_Tank  |          PMT number 1 0 0 4 5  |                   37.388*cm 235.323*cm 236.163*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 38 
 cher_lg_PMT_30_1_39  |        cher_lg_Tank  |          PMT number 1 0 0 4 6  |                   37.440*cm 235.613*cm 236.742*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 39 
 cher_lg_PMT_30_1_40  |        cher_lg_Tank  |          PMT number 1 0 0 4 7  |                   37.492*cm 235.904*cm 237.321*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 40 
 cher_lg_PMT_30_1_41  |        cher_lg_Tank  |          PMT number 1 0 0 5 0  |                   37.766*cm 233.755*cm 233.267*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 41 
 cher_lg_PMT_30_1_42  |        cher_lg_Tank  |          PMT number 1 0 0 5 1  |                   37.819*cm 234.046*cm 233.846*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 42 
 cher_lg_PMT_30_1_43  |        cher_lg_Tank  |          PMT number 1 0 0 5 2  |                   37.871*cm 234.336*cm 234.425*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 43 
 cher_lg_PMT_30_1_44  |        cher_lg_Tank  |          PMT number 1 0 0 5 3  |                   37.923*cm 234.627*cm 235.005*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 44 
 cher_lg_PMT_30_1_45  |        cher_lg_Tank  |          PMT number 1 0 0 5 4  |                   37.975*cm 234.917*cm 235.584*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 45 
 cher_lg_PMT_30_1_46  |        cher_lg_Tank  |          PMT number 1 0 0 5 5  |                   38.028*cm 235.208*cm 236.163*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 46 
 cher_lg_PMT_30_1_47  |        cher_lg_Tank  |          PMT number 1 0 0 5 6  |                   38.080*cm 235.498*cm 236.742*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 47 
 cher_lg_PMT_30_1_48  |        cher_lg_Tank  |          PMT number 1 0 0 5 7  |                   38.132*cm 235.789*cm 237.321*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 48 
 cher_lg_PMT_30_1_49  |        cher_lg_Tank  |          PMT number 1 0 0 6 0  |                   38.406*cm 233.640*cm 233.267*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 49 
 cher_lg_PMT_30_1_50  |        cher_lg_Tank  |          PMT number 1 0 0 6 1  |                   38.458*cm 233.931*cm 233.846*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 50 
 cher_lg_PMT_30_1_51  |        cher_lg_Tank  |          PMT number 1 0 0 6 2  |                   38.511*cm 234.221*cm 234.425*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 51 
 cher_lg_PMT_30_1_52  |        cher_lg_Tank  |          PMT number 1 0 0 6 3  |                   38.563*cm 234.512*cm 235.005*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 52 
 cher_lg_PMT_30_1_53  |        cher_lg_Tank  |          PMT number 1 0 0 6 4  |                   38.615*cm 234.802*cm 235.584*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 53 
 cher_lg_PMT_30_1_54  |        cher_lg_Tank  |          PMT number 1 0 0 6 5  |                   38.667*cm 235.093*cm 236.163*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 54 
 cher_lg_PMT_30_1_55  |        cher_lg_Tank  |          PMT number 1 0 0 6 6  |                   38.720*cm 235.383*cm 236.742*cm  |    ordered: zxy 10.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.0325*cm 0.0325*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 55 
