solid_ccprototype_block_14  |solid_ccprototype_gas  |    solid_ccprototype_block_14  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |258*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_15  |solid_ccprototype_gas  |    solid_ccprototype_block_15  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |270*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_16  |solid_ccprototype_gas  |    solid_ccprototype_block_16  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |282*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_17  |solid_ccprototype_gas  |    solid_ccprototype_block_17  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |294*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_18  |solid_ccprototype_gas  |    solid_ccprototype_block_18  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |306*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_19  |solid_ccprototype_gas  |    solid_ccprototype_block_19  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |318*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_20  |solid_ccprototype_gas  |    solid_ccprototype_block_20  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |330*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_21  |solid_ccprototype_gas  |    solid_ccprototype_block_21  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |342*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_22  |solid_ccprototype_gas  |    solid_ccprototype_block_22  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |354*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_23  |solid_ccprototype_gas  |    solid_ccprototype_block_23  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |366*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_24  |solid_ccprototype_gas  |    solid_ccprototype_block_24  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |378*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_25  |solid_ccprototype_gas  |    solid_ccprototype_block_25  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |390*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_26  |solid_ccprototype_gas  |    solid_ccprototype_block_26  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |402*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
