     solid_ec_shield  |          cc_pro_tcd  |               solid_ec_shield  |                               0*cm 0*cm 92.742*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |                 Box  |                                         13*cm 13*cm 0.56*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintfrontrod2  |solid_ec_showe1_paintfront1  |solid_ec_showe1_paintfrontrod2  |      2.81273806984771*cm 4.87183279684652*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_paintfrontrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintfrontrod3  |solid_ec_showe1_paintfront1  |solid_ec_showe1_paintfrontrod3  |     -2.81277386025399*cm 4.87181213318739*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_paintfrontrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintfrontrod4  |solid_ec_showe1_paintfront1  |solid_ec_showe1_paintfrontrod4  | -5.6254999998482*cm -4.13272306174735e-05*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_paintfrontrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintfrontrod5  |solid_ec_showe1_paintfront1  |solid_ec_showe1_paintfrontrod5  |    -2.81270227928962*cm -4.87185346024272*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_paintfrontrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintfrontrod6  |solid_ec_showe1_paintfront1  |solid_ec_showe1_paintfrontrod6  |     2.81280965050846*cm -4.87179146926533*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_paintfrontrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintback1  |     solid_ec_showe1  |    solid_ec_showe1_paintback1  |                             0*cm 0*cm -22.6405*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |                Pgon  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0025*cm 0.0025*cm  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintbackrod1  |solid_ec_showe1_paintback1  | solid_ec_showe1_paintbackrod1  |                               5.6255*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |                Tube  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintbackrod2  |solid_ec_showe1_paintback1  | solid_ec_showe1_paintbackrod2  |      2.81273806984771*cm 4.87183279684652*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_paintbackrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintbackrod3  |solid_ec_showe1_paintback1  | solid_ec_showe1_paintbackrod3  |     -2.81277386025399*cm 4.87181213318739*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_paintbackrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintbackrod4  |solid_ec_showe1_paintback1  | solid_ec_showe1_paintbackrod4  | -5.6254999998482*cm -4.13272306174735e-05*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_paintbackrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintbackrod5  |solid_ec_showe1_paintback1  | solid_ec_showe1_paintbackrod5  |    -2.81270227928962*cm -4.87185346024272*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_paintbackrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintbackrod6  |solid_ec_showe1_paintback1  | solid_ec_showe1_paintbackrod6  |     2.81280965050846*cm -4.87179146926533*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_paintbackrod1  |                         0*cm 0.3*cm 0.0025*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapfront1  |     solid_ec_showe1  |     solid_ec_showe1_gapfront1  |                              0*cm 0*cm -22.632*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Pgon  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapfrontrod1  |solid_ec_showe1_gapfront1  |  solid_ec_showe1_gapfrontrod1  |                               5.6255*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |                Tube  |                          0*cm 0.3*cm 0.006*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapfrontrod2  |solid_ec_showe1_gapfront1  |  solid_ec_showe1_gapfrontrod2  |      2.81273806984771*cm 4.87183279684652*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_gapfrontrod1  |                          0*cm 0.3*cm 0.006*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapfrontrod3  |solid_ec_showe1_gapfront1  |  solid_ec_showe1_gapfrontrod3  |     -2.81277386025399*cm 4.87181213318739*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_gapfrontrod1  |                          0*cm 0.3*cm 0.006*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapfrontrod4  |solid_ec_showe1_gapfront1  |  solid_ec_showe1_gapfrontrod4  | -5.6254999998482*cm -4.13272306174735e-05*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_gapfrontrod1  |                          0*cm 0.3*cm 0.006*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapfrontrod5  |solid_ec_showe1_gapfront1  |  solid_ec_showe1_gapfrontrod5  |    -2.81270227928962*cm -4.87185346024272*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_gapfrontrod1  |                          0*cm 0.3*cm 0.006*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapfrontrod6  |solid_ec_showe1_gapfront1  |  solid_ec_showe1_gapfrontrod6  |     2.81280965050846*cm -4.87179146926533*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_gapfrontrod1  |                          0*cm 0.3*cm 0.006*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapback1  |     solid_ec_showe1  |      solid_ec_showe1_gapback1  |                               0*cm 0*cm -22.47*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Pgon  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapbackrod1  |solid_ec_showe1_gapback1  |   solid_ec_showe1_gapbackrod1  |                               5.6255*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |                Tube  |                          0*cm 0.3*cm 0.006*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapbackrod2  |solid_ec_showe1_gapback1  |   solid_ec_showe1_gapbackrod2  |      2.81273806984771*cm 4.87183279684652*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_gapbackrod1  |                          0*cm 0.3*cm 0.006*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapbackrod3  |solid_ec_showe1_gapback1  |   solid_ec_showe1_gapbackrod3  |     -2.81277386025399*cm 4.87181213318739*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_gapbackrod1  |                          0*cm 0.3*cm 0.006*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapbackrod4  |solid_ec_showe1_gapback1  |   solid_ec_showe1_gapbackrod4  | -5.6254999998482*cm -4.13272306174735e-05*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_gapbackrod1  |                          0*cm 0.3*cm 0.006*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapbackrod5  |solid_ec_showe1_gapback1  |   solid_ec_showe1_gapbackrod5  |    -2.81270227928962*cm -4.87185346024272*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_gapbackrod1  |                          0*cm 0.3*cm 0.006*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapbackrod6  |solid_ec_showe1_gapback1  |   solid_ec_showe1_gapbackrod6  |     2.81280965050846*cm -4.87179146926533*cm 0*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_gapbackrod1  |                          0*cm 0.3*cm 0.006*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scin1_rod1  |     solid_ec_showe1  |    solid_ec_showe1_scin1_rod1  |                         5.6255*cm 0*cm -22.551*cm  |                       0*deg 0*deg 0*deg  | 654321   |                Tube  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scin1_rod2  |     solid_ec_showe1  |    solid_ec_showe1_scin1_rod2  |2.81273806984771*cm 4.87183279684652*cm -22.551*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scin1_rod3  |     solid_ec_showe1  |    solid_ec_showe1_scin1_rod3  |-2.81277386025399*cm 4.87181213318739*cm -22.551*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scin1_rod4  |     solid_ec_showe1  |    solid_ec_showe1_scin1_rod4  |-5.6254999998482*cm -4.13272306174735e-05*cm -22.551*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scin1_rod5  |     solid_ec_showe1  |    solid_ec_showe1_scin1_rod5  |-2.81270227928962*cm -4.87185346024272*cm -22.551*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scin1_rod6  |     solid_ec_showe1  |    solid_ec_showe1_scin1_rod6  |2.81280965050846*cm -4.87179146926533*cm -22.551*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_lead2  |     solid_ec_showe1  |         solid_ec_showe1_lead2  |                              0*cm 0*cm -22.439*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_ec_showe1_lead1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintfront2  |     solid_ec_showe1  |   solid_ec_showe1_paintfront2  |                             0*cm 0*cm -22.4615*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintback2  |     solid_ec_showe1  |    solid_ec_showe1_paintback2  |                             0*cm 0*cm -22.4065*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapfront2  |     solid_ec_showe1  |     solid_ec_showe1_gapfront2  |                              0*cm 0*cm -22.398*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapback2  |     solid_ec_showe1  |      solid_ec_showe1_gapback2  |                              0*cm 0*cm -22.236*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint2_rod1  |     solid_ec_showe1  |   solid_ec_showe1_scint2_rod1  |                         5.6255*cm 0*cm -22.317*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint2_rod2  |     solid_ec_showe1  |   solid_ec_showe1_scint2_rod2  |2.81273806984771*cm 4.87183279684652*cm -22.317*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint2_rod3  |     solid_ec_showe1  |   solid_ec_showe1_scint2_rod3  |-2.81277386025399*cm 4.87181213318739*cm -22.317*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint2_rod4  |     solid_ec_showe1  |   solid_ec_showe1_scint2_rod4  |-5.6254999998482*cm -4.13272306174735e-05*cm -22.317*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint2_rod5  |     solid_ec_showe1  |   solid_ec_showe1_scint2_rod5  |-2.81270227928962*cm -4.87185346024272*cm -22.317*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint2_rod6  |     solid_ec_showe1  |   solid_ec_showe1_scint2_rod6  |2.81280965050846*cm -4.87179146926533*cm -22.317*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_lead3  |     solid_ec_showe1  |         solid_ec_showe1_lead3  |                              0*cm 0*cm -22.205*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_ec_showe1_lead1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintfront3  |     solid_ec_showe1  |   solid_ec_showe1_paintfront3  |                             0*cm 0*cm -22.2275*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintback3  |     solid_ec_showe1  |    solid_ec_showe1_paintback3  |                             0*cm 0*cm -22.1725*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapfront3  |     solid_ec_showe1  |     solid_ec_showe1_gapfront3  |                              0*cm 0*cm -22.164*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapback3  |     solid_ec_showe1  |      solid_ec_showe1_gapback3  |                              0*cm 0*cm -22.002*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint3_rod1  |     solid_ec_showe1  |   solid_ec_showe1_scint3_rod1  |                         5.6255*cm 0*cm -22.083*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint3_rod2  |     solid_ec_showe1  |   solid_ec_showe1_scint3_rod2  |2.81273806984771*cm 4.87183279684652*cm -22.083*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint3_rod3  |     solid_ec_showe1  |   solid_ec_showe1_scint3_rod3  |-2.81277386025399*cm 4.87181213318739*cm -22.083*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint3_rod4  |     solid_ec_showe1  |   solid_ec_showe1_scint3_rod4  |-5.6254999998482*cm -4.13272306174735e-05*cm -22.083*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint3_rod5  |     solid_ec_showe1  |   solid_ec_showe1_scint3_rod5  |-2.81270227928962*cm -4.87185346024272*cm -22.083*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint3_rod6  |     solid_ec_showe1  |   solid_ec_showe1_scint3_rod6  |2.81280965050846*cm -4.87179146926533*cm -22.083*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
