    solid_gem_1_1_18  |         solid_gem_1  |              solid_gem_1_1_18  |                               0*cm 0*cm 3.4975*mm  |                       0*deg 0*deg 0*deg  | ff33fc   |                 Box  |                                              5*cm 5*cm 1*mm  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101018 
    solid_gem_1_1_19  |         solid_gem_1  |              solid_gem_1_1_19  |                               0*cm 0*cm 4.5025*mm  |                       0*deg 0*deg 0*deg  | ffe731   |                 Box  |                                          5*cm 5*cm 0.005*mm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 1101019 
    solid_gem_1_1_20  |         solid_gem_1  |              solid_gem_1_1_20  |                               0*cm 0*cm 4.5325*mm  |                       0*deg 0*deg 0*deg  | 1a4fff   |                 Box  |                                          5*cm 5*cm 0.025*mm  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101020 
    solid_gem_1_1_21  |         solid_gem_1  |              solid_gem_1_1_21  |                               0*cm 0*cm 4.6475*mm  |                       0*deg 0*deg 0*deg  | 00ffdd   |                 Box  |                                           5*cm 5*cm 0.09*mm  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101021 
    solid_gem_1_1_22  |         solid_gem_1  |              solid_gem_1_1_22  |                               0*cm 0*cm 6.2375*mm  |                       0*deg 0*deg 0*deg  | ff33fc   |                 Box  |                                            5*cm 5*cm 1.5*mm  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101022 
    solid_gem_1_1_23  |         solid_gem_1  |              solid_gem_1_1_23  |                               0*cm 0*cm 7.7475*mm  |                       0*deg 0*deg 0*deg  | ffse14   |                 Box  |                                           5*cm 5*cm 0.01*mm  |        SL_gem_mylar  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101023 
    solid_gem_1_1_24  |         solid_gem_1  |              solid_gem_1_1_24  |                                 0*cm 0*cm 7.76*mm  |                       0*deg 0*deg 0*deg  | 00ff00   |                 Box  |                                         5*cm 5*cm 0.0025*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1101024 
         solid_gem_2  |          cc_pro_tcd  |                   solid_gem_2  |                                0*cm 0*cm 76.37*cm  |                       0*deg 0*deg 0*deg  | 111111   |                 Box  |                                         5*cm 5*cm 7.7625*mm  |              G4_AIR  |                  no  |     2   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     solid_gem_2_1_1  |         solid_gem_2  |               solid_gem_2_1_1  |                                0*cm 0*cm -7.76*mm  |                       0*deg 0*deg 0*deg  | 00ff00   |                 Box  |                                         5*cm 5*cm 0.0025*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1201001 
     solid_gem_2_1_2  |         solid_gem_2  |               solid_gem_2_1_2  |                              0*cm 0*cm -7.7475*mm  |                       0*deg 0*deg 0*deg  | ffse14   |                 Box  |                                           5*cm 5*cm 0.01*mm  |        SL_gem_mylar  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1201002 
     solid_gem_2_1_3  |         solid_gem_2  |               solid_gem_2_1_3  |                              0*cm 0*cm -6.2375*mm  |                       0*deg 0*deg 0*deg  | ff33fc   |                 Box  |                                            5*cm 5*cm 1.5*mm  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1201003 
     solid_gem_2_1_4  |         solid_gem_2  |               solid_gem_2_1_4  |                              0*cm 0*cm -4.7125*mm  |                       0*deg 0*deg 0*deg  | 1a4fff   |                 Box  |                                          5*cm 5*cm 0.025*mm  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 1201004 
