y5	| -208.092	| cm | - |  - | - | - | - | - | - 
y5_x0	| -156.464	| cm | - |  - | - | - | - | - | - 
y5_x1	| -145.288	| cm | - |  - | - | - | - | - | - 
y5_x2	| -134.112	| cm | - |  - | - | - | - | - | - 
y5_x3	| -122.936	| cm | - |  - | - | - | - | - | - 
y5_x4	| -111.76	| cm | - |  - | - | - | - | - | - 
y5_x5	| -100.584	| cm | - |  - | - | - | - | - | - 
y5_x6	| -89.408	| cm | - |  - | - | - | - | - | - 
y5_x7	| -78.232	| cm | - |  - | - | - | - | - | - 
y5_x8	| -67.056	| cm | - |  - | - | - | - | - | - 
y5_x9	| -55.88	| cm | - |  - | - | - | - | - | - 
y5_x10	| -44.704	| cm | - |  - | - | - | - | - | - 
y5_x11	| -33.528	| cm | - |  - | - | - | - | - | - 
y5_x12	| -22.352	| cm | - |  - | - | - | - | - | - 
y5_x13	| -11.176	| cm | - |  - | - | - | - | - | - 
y5_x14	| 0	| cm | - |  - | - | - | - | - | - 
y5_x15	| 11.176	| cm | - |  - | - | - | - | - | - 
y5_x16	| 22.352	| cm | - |  - | - | - | - | - | - 
y5_x17	| 33.528	| cm | - |  - | - | - | - | - | - 
y5_x18	| 44.704	| cm | - |  - | - | - | - | - | - 
y5_x19	| 55.88	| cm | - |  - | - | - | - | - | - 
y5_x20	| 67.056	| cm | - |  - | - | - | - | - | - 
y5_x21	| 78.232	| cm | - |  - | - | - | - | - | - 
y5_x22	| 89.408	| cm | - |  - | - | - | - | - | - 
y5_x23	| 100.584	| cm | - |  - | - | - | - | - | - 
y5_x24	| 111.76	| cm | - |  - | - | - | - | - | - 
y5_x25	| 122.936	| cm | - |  - | - | - | - | - | - 
y5_x26	| 134.112	| cm | - |  - | - | - | - | - | - 
y5_x27	| 145.288	| cm | - |  - | - | - | - | - | - 
y5_x28	| 156.464	| cm | - |  - | - | - | - | - | - 
num_y6	| 32	| - | - | - |  - | - | - | - | - 
y6	| -198.413	| cm | - |  - | - | - | - | - | - 
y6_x0	| -173.228	| cm | - |  - | - | - | - | - | - 
y6_x1	| -162.052	| cm | - |  - | - | - | - | - | - 
y6_x2	| -150.876	| cm | - |  - | - | - | - | - | - 
y6_x3	| -139.7	| cm | - |  - | - | - | - | - | - 
y6_x4	| -128.524	| cm | - |  - | - | - | - | - | - 
y6_x5	| -117.348	| cm | - |  - | - | - | - | - | - 
y6_x6	| -106.172	| cm | - |  - | - | - | - | - | - 
y6_x7	| -94.996	| cm | - |  - | - | - | - | - | - 
y6_x8	| -83.82	| cm | - |  - | - | - | - | - | - 
y6_x9	| -72.644	| cm | - |  - | - | - | - | - | - 
y6_x10	| -61.468	| cm | - |  - | - | - | - | - | - 
y6_x11	| -50.292	| cm | - |  - | - | - | - | - | - 
y6_x12	| -39.116	| cm | - |  - | - | - | - | - | - 
y6_x13	| -27.94	| cm | - |  - | - | - | - | - | - 
y6_x14	| -16.764	| cm | - |  - | - | - | - | - | - 
y6_x15	| -5.588	| cm | - |  - | - | - | - | - | - 
y6_x16	| 5.588	| cm | - |  - | - | - | - | - | - 
y6_x17	| 16.764	| cm | - |  - | - | - | - | - | - 
y6_x18	| 27.94	| cm | - |  - | - | - | - | - | - 
y6_x19	| 39.116	| cm | - |  - | - | - | - | - | - 
y6_x20	| 50.292	| cm | - |  - | - | - | - | - | - 
y6_x21	| 61.468	| cm | - |  - | - | - | - | - | - 
