idymax	| 54	| - | - | - |  - | - | - | - | - 
x_idy4_idx17_id64_sector24_status1	| 67.056	| cm | - |  - | - | - | - | - | - 
x_idy4_idx18_id65_sector25_status1	| 78.232	| cm | - |  - | - | - | - | - | - 
x_idy4_idx19_id66_sector25_status1	| 89.408	| cm | - |  - | - | - | - | - | - 
x_idy4_idx20_id67_sector25_status1	| 100.584	| cm | - |  - | - | - | - | - | - 
x_idy4_idx21_id68_sector25_status1	| 111.76	| cm | - |  - | - | - | - | - | - 
idxmax_idy5	| 22	| - | - | - |  - | - | - | - | - 
y_idy5	| 256.486	| cm | - |  - | - | - | - | - | - 
x_idy5_idx1_id69_sector21_status1	| -117.348	| cm | - |  - | - | - | - | - | - 
x_idy5_idx2_id70_sector21_status1	| -106.172	| cm | - |  - | - | - | - | - | - 
x_idy5_idx3_id71_sector21_status1	| -94.996	| cm | - |  - | - | - | - | - | - 
x_idy5_idx4_id72_sector21_status1	| -83.82	| cm | - |  - | - | - | - | - | - 
x_idy5_idx5_id73_sector21_status1	| -72.644	| cm | - |  - | - | - | - | - | - 
x_idy5_idx6_id74_sector22_status1	| -61.468	| cm | - |  - | - | - | - | - | - 
x_idy5_idx7_id75_sector22_status1	| -50.292	| cm | - |  - | - | - | - | - | - 
x_idy5_idx8_id76_sector22_status1	| -39.116	| cm | - |  - | - | - | - | - | - 
x_idy5_idx9_id77_sector22_status1	| -27.94	| cm | - |  - | - | - | - | - | - 
x_idy5_idx10_id78_sector23_status1	| -16.764	| cm | - |  - | - | - | - | - | - 
x_idy5_idx11_id79_sector23_status1	| -5.588	| cm | - |  - | - | - | - | - | - 
x_idy5_idx12_id80_sector23_status1	| 5.588	| cm | - |  - | - | - | - | - | - 
x_idy5_idx13_id81_sector23_status1	| 16.764	| cm | - |  - | - | - | - | - | - 
x_idy5_idx14_id82_sector24_status1	| 27.94	| cm | - |  - | - | - | - | - | - 
x_idy5_idx15_id83_sector24_status1	| 39.116	| cm | - |  - | - | - | - | - | - 
x_idy5_idx16_id84_sector24_status1	| 50.292	| cm | - |  - | - | - | - | - | - 
x_idy5_idx17_id85_sector24_status1	| 61.468	| cm | - |  - | - | - | - | - | - 
x_idy5_idx18_id86_sector25_status1	| 72.644	| cm | - |  - | - | - | - | - | - 
x_idy5_idx19_id87_sector25_status1	| 83.82	| cm | - |  - | - | - | - | - | - 
x_idy5_idx20_id88_sector25_status1	| 94.996	| cm | - |  - | - | - | - | - | - 
x_idy5_idx21_id89_sector25_status1	| 106.172	| cm | - |  - | - | - | - | - | - 
x_idy5_idx22_id90_sector25_status1	| 117.348	| cm | - |  - | - | - | - | - | - 
idxmax_idy6	| 29	| - | - | - |  - | - | - | - | - 
y_idy6	| 256.486	| cm | - |  - | - | - | - | - | - 
x_idy6_idx1_id91_sector20_status1	| -156.464	| cm | - |  - | - | - | - | - | - 
x_idy6_idx2_id92_sector20_status1	| -145.288	| cm | - |  - | - | - | - | - | - 
x_idy6_idx3_id93_sector20_status1	| -134.112	| cm | - |  - | - | - | - | - | - 
x_idy6_idx4_id94_sector20_status1	| -122.936	| cm | - |  - | - | - | - | - | - 
x_idy6_idx5_id95_sector21_status1	| -111.76	| cm | - |  - | - | - | - | - | - 
x_idy6_idx6_id96_sector21_status1	| -100.584	| cm | - |  - | - | - | - | - | - 
x_idy6_idx7_id97_sector21_status1	| -89.408	| cm | - |  - | - | - | - | - | - 
x_idy6_idx8_id98_sector21_status1	| -78.232	| cm | - |  - | - | - | - | - | - 
x_idy6_idx9_id99_sector22_status1	| -67.056	| cm | - |  - | - | - | - | - | - 
x_idy6_idx10_id100_sector22_status1	| -55.88	| cm | - |  - | - | - | - | - | - 
x_idy6_idx11_id101_sector22_status1	| -44.704	| cm | - |  - | - | - | - | - | - 
x_idy6_idx12_id102_sector22_status1	| -33.528	| cm | - |  - | - | - | - | - | - 
x_idy6_idx13_id103_sector22_status1	| -22.352	| cm | - |  - | - | - | - | - | - 
x_idy6_idx14_id104_sector23_status1	| -11.176	| cm | - |  - | - | - | - | - | - 
x_idy6_idx15_id105_sector23_status1	| 0	| cm | - |  - | - | - | - | - | - 
x_idy6_idx16_id106_sector23_status1	| 11.176	| cm | - |  - | - | - | - | - | - 
x_idy6_idx17_id107_sector24_status1	| 22.352	| cm | - |  - | - | - | - | - | - 
x_idy6_idx18_id108_sector24_status1	| 33.528	| cm | - |  - | - | - | - | - | - 
x_idy6_idx19_id109_sector24_status1	| 44.704	| cm | - |  - | - | - | - | - | - 
x_idy6_idx20_id110_sector24_status1	| 55.88	| cm | - |  - | - | - | - | - | - 
x_idy6_idx21_id111_sector24_status1	| 67.056	| cm | - |  - | - | - | - | - | - 
x_idy6_idx22_id112_sector25_status1	| 78.232	| cm | - |  - | - | - | - | - | - 
